empresa;ambiente;quantidade;data_ultima_transacao;hora_ultima_transacao;gap_time;status
COELBA;V2;253;2024-01-07;20:06:52;00:00:12;0
ENEL SP;V3;1381;2024-01-07;20:05:13;00:01:52;0
ELEKTRO;V2;51;2024-01-07;20:04:44;00:02:20;0
CELPE;V2;151;2024-01-07;20:04:30;00:02:34;0
EDP ESPIRITO SANTO;V3;7;2024-01-07;20:03:47;00:03:18;0
COSERN;V2;131;2024-01-07;20:03:34;00:03:30;0
ENEL RJ;V3;50;2024-01-07;20:02:00;00:05:05;0
LIGHT;V3;466;2024-01-07;20:01:28;00:05:37;0
CAERN;V2;72;2024-01-07;19:58:28;00:08:37;0
EDP SAO PAULO;V3;17;2024-01-07;19:57:30;00:09:35;0
EMBASA;V2;101;2024-01-07;19:53:20;00:13:44;0
ENEL CE;V3;62;2024-01-07;19:37:55;00:29:09;0
